Id,Label,community
6474,6474,6
8824,8824,116
21014,21014,151
21015,21015,151
31089,31089,134
31116,31116,80
31136,31136,145
31137,31137,116
31138,31138,116
31151,31151,151
31164,31164,134
31168,31168,156
31191,31191,134
31203,31203,134
31205,31205,151
31206,31206,6
39288,39288,104
46213,46213,116
46214,46214,116
46244,46244,153
46245,46245,153
46259,46259,151
46282,46282,104
46287,46287,256
46317,46317,156
46339,46339,80
58500,58500,134
58541,58541,156
58553,58553,6
58554,58554,6
58563,58563,145
58564,58564,145
58565,58565,145
58566,58566,145
58586,58586,156
63480,63480,145
72512,72512,145
72513,72513,145
72553,72553,153
72554,72554,153
72561,72561,256
72573,72573,156
72574,72574,156
72575,72575,156
72576,72576,156
72577,72577,156
72578,72578,156
72582,72582,145
72583,72583,145
72593,72593,256
72596,72596,153
72745,72745,134
75901,75901,151
75909,75909,104
75911,75911,104
75914,75914,80
75921,75921,134
75933,75933,151
77029,77029,104
77030,77030,104
77031,77031,104
77032,77032,104
78621,78621,256
78646,78646,6
81173,81173,6
81187,81187,151
81188,81188,151
81222,81222,151
100199,100199,104
100219,100219,153
100220,100220,153
100221,100221,153
100228,100228,6
100240,100240,104
100259,100259,256
101534,101534,256
101882,101882,116
101895,101895,153
101901,101901,256
103911,103911,256
103912,103912,256
103919,103919,153
103920,103920,6
105236,105236,80
105241,105241,80
105243,105243,134
105245,105245,134
105255,105255,256
105267,105267,134
105296,105296,80
105297,105297,80
105298,105298,80
135504,135504,6
135514,135514,116
140321,140321,6
140336,140336,80
140340,140340,116
140341,140341,116
140360,140360,80
147023,147023,116
